,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
6952,Aaron Simpson,Tom Lawlor,Aaron Simpson,0.33,0.3333333333333333,0.6305882352941177,0.4,0.16666666666666666,0.36941176470588233
6953,Amir Sadollah,Brad Blackburn,Amir Sadollah,0.53,1.0,0.6718403547671841,0.24,0.0,0.328159645232816
6954,Rory MacDonald,Mike Guymon,Rory MacDonald,0.42,0.6666666666666666,0.9550561797752809,0.33,0.0,0.0449438202247191
6955,Evan Dunham,Efrain Escudero,Evan Dunham,0.27,0.75,0.5497382198952879,0.35,0.0,0.450261780104712
6956,Rick Story,Jesse Lennox,Rick Story,0.27,0.6666666666666666,0.8067484662576687,0.17,0.5,0.19325153374233128
6957,Gerald Harris,John Salter,Gerald Harris,0.25,0.5,0.6,0.09,0.25,0.4
6958,Chris Leben,Jay Silva,Chris Leben,0.6,0.6666666666666666,0.931185944363104,0.27,0.0,0.06881405563689605
6959,Nick Catone,Jesse Forbes,Nick Catone,0.31,0.2222222222222222,0.5903614457831325,0.2,0.0,0.40963855421686746
6961,Rafael Dos Anjos,Kyle Bradley,Rafael Dos Anjos,0.37,0.625,0.9539347408829175,0.39,0.0,0.046065259117082535
6962,Gray Maynard,Nate Diaz,Gray Maynard,0.28,0.0,1.0,0.27,0.0,0.0
6963,Jake Ellenberger,Mike Pyle,Jake Ellenberger,0.38,1.0,1.0,0.62,0.0,0.0
6964,Junior Dos Santos,Gilbert Yvel,Junior Dos Santos,0.42,0.0,1.0,0.16,0.0,0.0
6965,Martin Kampmann,Jacob Volkmann,Martin Kampmann,0.41,0.0,0.9811320754716981,0.36,0.0,0.018867924528301886
6966,Mark Munoz,Ryan Jensen,Mark Munoz,0.57,1.0,0.7980769230769231,0.56,0.0,0.20192307692307693
6967,Rashad Evans,Thiago Silva,Rashad Evans,0.18,0.5,0.96875,0.36,0.0,0.03125
6968,Jim Miller,Duane Ludwig,Jim Miller,0.26,0.0,0.4166666666666667,0.07,0.0,0.5833333333333334
6969,Cole Miller,Dan Lauzon,Cole Miller,0.44,0.0,0.11538461538461539,0.41,1.0,0.8846153846153846
6970,Paul Daley,Dustin Hazelett,Paul Daley,0.4,0.0,1.0,0.36,0.0,0.0
6971,Rafaello Oliveira,John Gunderson,Rafaello Oliveira,0.46,0.8571428571428571,0.96875,0.03,1.0,0.03125
6972,Sam Stout,Joe Lauzon,Sam Stout,0.35,0.0,0.4769736842105263,0.32,0.25,0.5230263157894737
6973,DaMarques Johnson,Edgar Garcia,DaMarques Johnson,0.27,0.0,0.0,0.35,0.5,1.0
6974,Jon Fitch,Mike Pierce,Jon Fitch,0.33,0.4,0.5771812080536913,0.31,0.5,0.4228187919463087
6975,TJ Grant,Kevin Burns,TJ Grant,0.7,0.3333333333333333,0.7891891891891892,0.37,0.0,0.21081081081081082
6976,Johny Hendricks,Ricardo Funch,Johny Hendricks,0.59,0.5,0.8214285714285714,0.61,0.16666666666666666,0.17857142857142858
6977,Kenny Florian,Clay Guida,Kenny Florian,0.28,0.5,0.6018518518518519,0.18,0.0,0.39814814814814814
6978,Alan Belcher,Wilson Gouveia,Alan Belcher,0.37,0.0,1.0,0.32,0.0,0.0
6979,Rousimar Palhares,Lucio Linhares,Rousimar Palhares,0.42,0.5,0.6882022471910112,0.29,1.0,0.31179775280898875
6980,BJ Penn,Diego Sanchez,BJ Penn,0.53,0.0,0.1906779661016949,0.07,0.0,0.809322033898305
6981,Matt Wiman,Shane Nelson,Matt Wiman,0.42,0.4,0.8125,0.23,0.14285714285714285,0.1875
6982,Frank Mir,Cheick Kongo,Frank Mir,0.4,0.0,0.20689655172413793,0.0,0.0,0.7931034482758621
6983,Stefan Struve,Paul Buentello,Stefan Struve,0.46,1.0,0.755939524838013,0.41,0.0,0.24406047516198703
6984,James McSweeney,Darrill Schoonover,James McSweeney,0.61,0.5,0.776595744680851,0.33,0.0,0.22340425531914893
6985,Brian Stann,Rodney Wallace,Brian Stann,0.53,0.0,0.4390625,0.42,0.4666666666666667,0.5609375
