,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
2358,Gina Mazany,Rachael Ostovich,Gina Mazany,0.44,0.5833333333333334,0.9740566037735849,0.43,0.0,0.025943396226415096
2359,Miguel Baeza,Takashi Sato,Miguel Baeza,0.54,0.5,0.971830985915493,0.25,0.0,0.028169014084507043
2360,Luke Sanders,Nate Maness,Nate Maness,0.49,0.0,0.5714285714285714,0.47,0.5,0.42857142857142855
2361,Joaquin Buckley,Jordan Wright,Joaquin Buckley,0.53,0.0,0.9819819819819819,0.38,0.0,0.018018018018018018
2362,Antonina Shevchenko,Ariane da Silva,Antonina Shevchenko,0.68,0.3333333333333333,0.9425051334702259,0.57,0.0,0.057494866529774126
2363,Katlyn Cerminara,Cynthia Calvillo,Katlyn Cerminara,0.3,0.0,1.0,0.3,0.25,0.0
2364,Deiveson Figueiredo,Alex Perez,Deiveson Figueiredo,0.62,0.0,0.0,0.42,0.0,1.0
2365,Alan Jouban,Jared Gooden,Alan Jouban,0.5,0.0,0.13157894736842105,0.47,1.0,0.868421052631579
2366,Mauricio Rua,Paul Craig,Paul Craig,0.35,0.0,0.3151515151515151,0.5,0.5,0.6848484848484848
2367,Louis Cosce,Sasha Palatnikov,Sasha Palatnikov,0.48,0.1111111111111111,0.21285140562248997,0.52,1.0,0.7871485943775101
2368,Valentina Shevchenko,Jennifer Maia,Valentina Shevchenko,0.52,0.8333333333333334,0.5492822966507177,0.4,0.5,0.4507177033492823
2369,Brandon Moreno,Brandon Royval,Brandon Moreno,0.47,1.0,1.0,0.32,0.0,0.0
2370,Kyle Daukaus,Dustin Stoltzfus,Kyle Daukaus,0.52,0.2857142857142857,0.8112324492979719,0.5,0.0,0.18876755070202808
2371,Mike Perry,Tim Means,Tim Means,0.39,0.2,0.8281938325991189,0.66,0.0,0.17180616740088106
2372,Daniel Rodriguez,Nicolas Dalby,Nicolas Dalby,0.41,0.0,0.3178294573643411,0.34,0.0,0.6821705426356589
2373,Brendan Allen,Sean Strickland,Sean Strickland,0.56,0.0,0.0,0.58,1.0,1.0
2374,Ashley Yoder,Miranda Granger,Ashley Yoder,0.61,0.5,0.7179856115107913,0.64,0.0,0.2820143884892086
2375,Don'Tale Mayes,Roque Martinez,Don'Tale Mayes,0.43,0.5,0.4608150470219436,0.52,0.5,0.5391849529780565
2376,Randa Markos,Kanako Murata,Kanako Murata,0.47,0.0,0.0,0.67,0.4444444444444444,1.0
2377,Alex Morono,Rhys McKee,Alex Morono,0.54,1.0,0.927710843373494,0.53,0.0,0.07228915662650602
2378,Kay Hansen,Cory McKenna,Cory McKenna,0.6,0.4,0.6351084812623274,0.41,0.0,0.36489151873767256
2379,Abdul Razak Alhassan,Khaos Williams,Khaos Williams,1.0,0.0,0.0,0.5,0.0,0.0
2380,Paul Felder,Rafael Dos Anjos,Rafael Dos Anjos,0.51,0.5,0.10471204188481675,0.56,0.2727272727272727,0.8952879581151832
2381,Geraldo de Freitas,Tony Gravely,Tony Gravely,0.59,0.25,0.0033500837520938024,0.48,0.4117647058823529,0.9966499162479062
2382,Giga Chikadze,Jamey Simmons,Giga Chikadze,0.5,0.0,0.16981132075471697,0.5,0.0,0.8301886792452831
2383,Trevin Giles,Bevon Lewis,Trevin Giles,0.64,0.5,0.6169354838709677,0.34,0.0,0.38306451612903225
2384,Darren Elkins,Eduardo Garagorri,Darren Elkins,0.44,0.3333333333333333,0.978448275862069,0.46,0.0,0.021551724137931036
2385,Andrei Arlovski,Tanner Boser,Andrei Arlovski,0.41,0.0,0.0,0.57,0.0,0.0
2386,Claudia Gadelha,Yan Xiaonan,Yan Xiaonan,0.37,0.2,0.9552941176470588,0.43,0.0,0.04470588235294118
2387,Raoni Barcelos,Khalid Taha,Raoni Barcelos,0.57,0.5,0.6914893617021277,0.24,0.0,0.30851063829787234
2388,Alexandr Romanov,Marcos Rogerio de Lima,Alexandr Romanov,0.85,0.4,1.0,0.62,0.0,0.0
2389,Gustavo Lopez,Anthony Birchak,Gustavo Lopez,0.6,0.6666666666666666,1.0,0.42,0.0,0.0
2390,Max Griffin,Ramiz Brahimaj,Max Griffin,0.44,0.0,0.7111111111111111,0.36,0.0,0.28888888888888886
2391,Thiago Santos,Glover Teixeira,Glover Teixeira,0.62,0.0,0.12560386473429952,0.73,0.5714285714285714,0.8743961352657005
2392,Miles Johns,Kevin Natividad,Miles Johns,0.45,0.0,1.0,0.24,0.0,0.0
2393,Kevin Holland,Charlie Ontiveros,Kevin Holland,0.91,1.0,1.0,1.0,0.0,0.0
2394,Adrian Yanez,Victor Rodriguez,Adrian Yanez,0.5,0.0,0.0847457627118644,0.46,0.0,0.9152542372881356
2395,Maurice Greene,Greg Hardy,Greg Hardy,0.45,0.0,0.0,0.62,1.0,1.0
2396,Cole Williams,Jason Witt,Jason Witt,0.2,0.0,0.0,0.64,0.6666666666666666,1.0
2397,Dustin Jacoby,Justin Ledet,Dustin Jacoby,0.57,0.0,1.0,0.32,0.0,0.0
2398,Uriah Hall,Anderson Silva,Uriah Hall,0.54,0.0,0.32608695652173914,0.48,0.0,0.6739130434782609
2399,King Green,Thiago Moises,Thiago Moises,0.48,0.6666666666666666,0.3901098901098901,0.35,0.6666666666666666,0.6098901098901099
2400,Chris Gruetzemacher,Alexander Hernandez,Alexander Hernandez,0.29,0.0,0.0,0.55,0.0,0.0
2401,Bryce Mitchell,Andre Fili,Bryce Mitchell,0.66,0.5384615384615384,0.9473684210526315,0.37,0.0,0.05263157894736842
2402,Sean Strickland,Jack Marshman,Sean Strickland,0.46,0.0,0.0,0.19,0.0,0.0
2403,Jacob Malkoun,Phil Hawes,Phil Hawes,0.0,0.0,0.0,0.63,0.0,1.0
2404,Alex Oliveira,Shavkat Rakhmonov,Shavkat Rakhmonov,0.5,0.0,0.7380952380952381,0.52,0.0,0.2619047619047619
2405,Robert Whittaker,Jared Cannonier,Robert Whittaker,0.45,0.0,0.8125,0.59,0.0,0.1875
2406,Joel Alvarez,Alexander Yakovlev,Joel Alvarez,0.66,0.0,0.0,1.0,1.0,1.0
2407,Lauren Murphy,Liliya Shakirova,Lauren Murphy,0.25,1.0,0.7070707070707071,0.3,0.0,0.29292929292929293
2408,Alexander Volkov,Walt Harris,Alexander Volkov,0.61,0.0,1.0,0.27,0.0,0.0
2409,Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,0.51,0.0,1.0,0.3,0.0,0.0
2410,Stefan Struve,Tai Tuivasa,Tai Tuivasa,0.68,0.0,0.0,0.64,0.0,1.0
2412,Khabib Nurmagomedov,Justin Gaethje,Khabib Nurmagomedov,0.32,0.6666666666666666,0.7971014492753623,0.64,0.0,0.2028985507246377
2413,Liana Jojua,Miranda Maverick,Miranda Maverick,0.37,0.0,0.0,0.51,0.0,0.0
2414,Nathaniel Wood,Casey Kenney,Casey Kenney,0.42,0.0,0.0,0.49,0.3333333333333333,1.0
2415,Gillian Robertson,Poliana Botelho,Gillian Robertson,0.58,0.42857142857142855,0.8830769230769231,0.51,0.0,0.11692307692307692
2416,Claudio Silva,James Krause,James Krause,0.29,0.16666666666666666,0.8055555555555556,0.59,0.0,0.19444444444444445
2417,Said Nurmagomedov,Mark Striegl,Said Nurmagomedov,0.75,0.0,1.0,0.42,0.0,0.0
2418,Brian Ortega,Chan Sung Jung,Brian Ortega,0.59,0.3,1.0,0.38,0.0,0.0
2419,Mateusz Gamrot,Guram Kutateladze,Guram Kutateladze,0.41,0.3125,0.9952380952380953,0.43,0.0,0.004761904761904762
2420,JunYong Park,John Phillips,JunYong Park,0.47,1.0,1.0,0.35,0.0,0.0
2421,Thomas Almeida,Jonathan Martinez,Jonathan Martinez,0.37,0.0,1.0,0.35,0.0,0.0
2422,Jamie Mullarkey,Fares Ziam,Fares Ziam,0.27,0.45454545454545453,0.8524590163934426,0.52,0.2,0.14754098360655737
2423,Gadzhimurad Antigulov,Maxim Grishin,Maxim Grishin,0.52,0.2,0.53,0.44,1.0,0.47
2424,Jimmy Crute,Modestas Bukauskas,Jimmy Crute,0.7,0.0,1.0,0.41,0.0,0.0
2425,Katlyn Cerminara,Jessica Andrade,Jessica Andrade,0.35,0.0,0.14619883040935672,0.65,0.6666666666666666,0.8538011695906432
2426,Marlon Moraes,Cory Sandhagen,Cory Sandhagen,0.28,1.0,0.6923076923076923,0.43,0.0,0.3076923076923077
2427,Markus Perez,Dricus Du Plessis,Dricus Du Plessis,0.32,0.0,0.0,0.44,0.0,1.0
2428,Tracy Cortez,Stephanie Egger,Tracy Cortez,0.47,0.6,0.8248275862068966,0.31,0.16666666666666666,0.17517241379310344
2429,Ali AlQaisi,Tony Kelley,Tony Kelley,0.43,0.3333333333333333,0.7563025210084033,0.37,0.0,0.24369747899159663
2430,Tom Breese,KB Bhullar,Tom Breese,0.62,0.0,1.0,0.13,0.0,0.0
2431,Impa Kasanganay,Joaquin Buckley,Joaquin Buckley,0.35,0.0,0.0,0.3,0.5,1.0
2432,Youssef Zalal,Ilia Topuria,Ilia Topuria,0.32,0.0,0.26186830015313933,0.39,0.5555555555555556,0.7381316998468607
2433,Giga Chikadze,Omar Morales,Giga Chikadze,0.41,0.0,0.3118279569892473,0.26,0.0,0.6881720430107527
2434,Ben Rothwell,Marcin Tybura,Marcin Tybura,0.32,0.0,0.09178743961352658,0.51,0.3333333333333333,0.9082125603864735
2435,Bruno Silva,Tagir Ulanbekov,Tagir Ulanbekov,0.41,0.5,0.38315217391304346,0.37,0.45454545454545453,0.6168478260869565
2436,Chris Daukaus,Rodrigo Nascimento,Chris Daukaus,0.61,0.0,1.0,0.25,0.0,0.0
2437,Tom Aspinall,Alan Baudot,Tom Aspinall,0.64,1.0,1.0,0.25,0.0,0.0
2438,Edson Barboza,Makwan Amirkhani,Edson Barboza,0.43,0.0,0.33676975945017185,0.28,0.5,0.6632302405498282
2439,Holly Holm,Irene Aldana,Holly Holm,0.51,0.35714285714285715,0.9905956112852664,0.37,0.0,0.009404388714733543
2440,Carlos Condit,Court McGee,Carlos Condit,0.38,0.0,1.0,0.46,0.0,0.0
2442,Dequan Townsend,Dusko Todorovic,Dusko Todorovic,0.31,0.0,0.08071748878923767,0.63,0.5,0.9192825112107623
2443,Loma Lookboonmee,Jinh Yu Frey,Loma Lookboonmee,0.58,0.0,0.350210970464135,0.42,0.25,0.6497890295358649
2444,Germaine de Randamie,Julianna Pena,Germaine de Randamie,0.4,0.0,0.11910669975186104,0.29,0.5,0.8808933002481389
2445,Kyler Phillips,Cameron Else,Kyler Phillips,0.41,1.0,0.9797297297297297,0.36,0.0,0.02027027027027027
2446,Yorgan De Castro,Carlos Felipe,Carlos Felipe,0.48,0.0,0.6868327402135231,0.44,0.0,0.31316725978647686
2447,Jordan Williams,Nassourdine Imavov,Nassourdine Imavov,0.3,0.0,0.3310344827586207,0.61,0.125,0.6689655172413793
2448,Luigi Vendramini,Jessin Ayari,Luigi Vendramini,0.56,0.0,1.0,0.2,0.0,0.0
2449,Casey Kenney,Alatengheili,Casey Kenney,0.41,0.0,0.0,0.26,0.0,0.0
2450,Shane Young,Ludovit Klein,Ludovit Klein,0.57,0.0,0.0,0.69,0.0,1.0
2451,Brad Riddell,Alex Da Silva,Brad Riddell,0.4,0.16666666666666666,0.20947630922693267,0.48,0.3333333333333333,0.7905236907730673
2452,Kai Kara-France,Brandon Royval,Brandon Royval,0.57,0.0,0.5,0.54,0.0,0.5
2453,Khadis Ibragimov,Danilo Marques,Danilo Marques,0.41,0.0,0.17110266159695817,0.72,0.25,0.8288973384030418
2454,Dominick Reyes,Jan Blachowicz,Jan Blachowicz,0.41,0.0,0.0,0.46,0.0,1.0
2455,Juan Espino,Jeff Hughes,Juan Espino,0.58,0.7142857142857143,1.0,0.0,0.0,0.0
2456,Diego Sanchez,Jake Matthews,Jake Matthews,0.3,0.0,0.0,0.48,0.5,1.0
2457,Israel Adesanya,Paulo Costa,Israel Adesanya,0.65,0.0,0.9,0.46,0.0,0.1
2458,William Knight,Aleksa Camur,William Knight,0.7,0.8,0.5503448275862068,0.56,0.25,0.4496551724137931
2459,Ketlen Vieira,Sijara Eubanks,Ketlen Vieira,0.39,0.4,0.7903225806451613,0.46,0.0,0.20967741935483872
2460,Hakeem Dawodu,Zubaira Tukhugov,Hakeem Dawodu,0.5,0.0,0.0,0.37,0.14285714285714285,1.0
2461,Mayra Bueno Silva,Mara Romero Borella,Mayra Bueno Silva,0.28,0.0,0.0,0.66,0.5,1.0
2462,Journey Newson,Randy Costa,Randy Costa,0.2,0.0,0.0,0.66,0.0,1.0
2463,Mackenzie Dern,Randa Markos,Mackenzie Dern,0.69,0.0,0.5223880597014925,0.6,0.0,0.47761194029850745
2464,Tyson Nam,Jerome Rivera,Tyson Nam,0.5,0.0,1.0,0.37,0.0,0.0
2465,Johnny Walker,Ryan Spann,Johnny Walker,0.86,0.0,0.273972602739726,0.53,1.0,0.726027397260274
2466,Colby Covington,Tyron Woodley,Colby Covington,0.54,0.375,0.9809523809523809,0.4,1.0,0.01904761904761905
2467,Jordan Espinosa,David Dvorak,David Dvorak,0.3,0.0,0.0,0.46,0.0,1.0
2469,Kevin Holland,Darren Stewart,Kevin Holland,0.57,0.0,0.46336206896551724,0.51,0.375,0.5366379310344828
2470,Mirsad Bektic,Damon Jackson,Damon Jackson,0.61,0.7777777777777778,0.9096774193548387,0.46,0.0,0.09032258064516129
2471,Andre Ewell,Irwin Rivera,Andre Ewell,0.41,0.0,0.7272727272727273,0.46,0.1111111111111111,0.2727272727272727
2472,Darrick Minner,TJ Laramie,Darrick Minner,0.88,0.0,0.23333333333333334,0.0,0.0,0.7666666666666667
2473,Jessica-Rose Clark,Sarah Alpar,Jessica-Rose Clark,0.71,1.0,0.7053824362606232,0.4,0.18181818181818182,0.29461756373937675
2474,Khamzat Chimaev,Gerald Meerschaert,Khamzat Chimaev,0.66,0.0,1.0,0.0,0.0,0.0
2475,King Green,Alan Patrick,King Green,0.64,0.6666666666666666,0.8140794223826715,0.27,0.16666666666666666,0.18592057761732853
2476,Ottman Azaitar,Khama Worthy,Ottman Azaitar,0.72,0.0,1.0,0.11,0.0,0.0
2477,Michelle Waterson-Gomez,Angela Hill,Michelle Waterson-Gomez,0.39,0.05555555555555555,0.6514745308310992,0.5,0.0,0.3485254691689008
2478,Roxanne Modafferi,Andrea Lee,Roxanne Modafferi,0.35,0.5714285714285714,0.7487046632124352,0.51,0.75,0.25129533678756477
2479,Alexandr Romanov,Roque Martinez,Alexandr Romanov,0.37,1.0,1.0,0.46,0.0,0.0
2480,Billy Quarantillo,Kyle Nelson,Billy Quarantillo,0.52,0.3333333333333333,0.7050847457627119,0.49,0.0,0.29491525423728815
2481,Julia Avila,Sijara Eubanks,Sijara Eubanks,0.39,1.0,0.15702479338842976,0.49,0.42857142857142855,0.8429752066115702
2482,Sabina Mazo,Justine Kish,Sabina Mazo,0.47,0.0,0.30434782608695654,0.44,0.3333333333333333,0.6956521739130435
2484,Bryan Barberena,Anthony Ivy,Bryan Barberena,0.5,0.0,0.2505353319057816,0.42,0.20833333333333334,0.7494646680942184
2485,Ed Herman,Mike Rodriguez,Ed Herman,0.54,0.5,0.5595505617977528,0.71,0.0,0.4404494382022472
2486,Brok Weaver,Jalin Turner,Jalin Turner,0.7,0.16666666666666666,0.2074074074074074,0.43,1.0,0.7925925925925926
2487,Cole Smith,Hunter Azure,Hunter Azure,0.38,0.4,0.2859259259259259,0.75,0.625,0.7140740740740741
2488,Brian Kelleher,Ray Rodriguez,Brian Kelleher,0.33,0.0,0.0,0.2,1.0,1.0
2489,Andre Muniz,Bartosz Fabinski,Andre Muniz,0.5,0.0,0.013513513513513514,0.62,0.5,0.9864864864864865
2490,Viviane Araujo,Montana De La Rosa,Viviane Araujo,0.58,0.0,0.25,0.39,0.16666666666666666,0.75
2491,Michel Pereira,Zelim Imadaev,Michel Pereira,0.57,1.0,0.5789473684210527,0.25,0.0,0.42105263157894735
2492,Ovince Saint Preux,Alonzo Menifield,Ovince Saint Preux,0.41,0.0,0.07692307692307693,0.47,0.0,0.9230769230769231
2493,Alistair Overeem,Augusto Sakai,Alistair Overeem,0.8,1.0,0.6985138004246284,0.57,0.0,0.30148619957537154
2494,Mallory Martin,Hannah Cifers,Mallory Martin,0.57,0.5,0.4625,0.49,0.0,0.5375
2495,Alessio Di Chirico,Zak Cummings,Zak Cummings,0.33,0.0,0.0,0.38,0.0,0.0
2496,Polyana Viana,Emily Whitmire,Polyana Viana,0.6,0.0,0.0,0.18,0.0,1.0
2497,Ricardo Lamas,Bill Algeo,Ricardo Lamas,0.66,0.45454545454545453,0.8252212389380531,0.52,1.0,0.1747787610619469
2498,Maki Pitolo,Impa Kasanganay,Impa Kasanganay,0.41,0.0,0.5161290322580645,0.42,0.0,0.4838709677419355
2499,Sean Brady,Christian Aguilera,Sean Brady,0.56,1.0,1.0,0.41,0.0,0.0
2500,Anthony Smith,Aleksandar Rakic,Aleksandar Rakic,0.42,0.0,0.046753246753246755,0.77,0.0,0.9532467532467532
2501,Robbie Lawler,Neil Magny,Neil Magny,0.57,0.0,0.15843270868824533,0.7,0.5714285714285714,0.8415672913117547
2502,Alex Caceres,Austin Springer,Alex Caceres,0.58,0.0,0.7692307692307693,0.43,0.0,0.23076923076923078
2503,Ji Yeon Kim,Alexa Grasso,Alexa Grasso,0.36,0.0,0.2658959537572254,0.48,0.5,0.7341040462427746
2504,Pedro Munhoz,Frankie Edgar,Frankie Edgar,0.47,0.0,0.0,0.37,0.25,1.0
2505,Daniel Rodriguez,Dwight Grant,Daniel Rodriguez,0.46,0.0,0.03636363636363636,0.44,0.0,0.9636363636363636
2506,Mariya Agapova,Shana Dobson,Shana Dobson,0.47,1.0,0.5601173020527859,0.66,1.0,0.4398826979472141
2507,Carlton Minus,Matthew Semelsberger,Matthew Semelsberger,0.42,0.0,0.0,0.5,1.0,1.0
2508,Ike Villanueva,Jordan Wright,Jordan Wright,1.0,0.0,0.8169014084507042,1.0,0.0,0.18309859154929578
2510,Marcin Prachnio,Mike Rodriguez,Mike Rodriguez,0.7,0.0,0.6097560975609756,0.8,0.0,0.3902439024390244
2511,Austin Hubbard,Joe Solecki,Joe Solecki,0.64,0.0,0.0,0.65,0.0,1.0
2512,Amanda Lemos,Mizuki,Amanda Lemos,0.64,1.0,0.25585585585585585,0.6,0.0,0.7441441441441441
2513,Felice Herrig,Virna Jandiroba,Virna Jandiroba,1.0,0.0,0.0,0.8,1.0,1.0
2514,Stipe Miocic,Daniel Cormier,Stipe Miocic,0.61,0.0,0.8691358024691358,0.57,0.5,0.1308641975308642
2515,Sean O'Malley,Marlon Vera,Marlon Vera,0.47,0.0,0.0,0.6,0.0,1.0
2516,Herbert Burns,Daniel Pineda,Daniel Pineda,0.45,0.75,0.29887218045112784,0.76,0.5,0.7011278195488722
2517,Jim Miller,Vinc Pichel,Vinc Pichel,0.35,1.0,0.4403409090909091,0.52,0.6,0.5596590909090909
2518,Chris Daukaus,Parker Porter,Chris Daukaus,0.62,0.0,1.0,0.32,0.0,0.0
2519,Junior Dos Santos,Jairzinho Rozenstruik,Jairzinho Rozenstruik,0.54,0.0,0.0,0.63,0.0,1.0
2520,Kai Kamaka,Tony Kelley,Kai Kamaka,0.61,1.0,1.0,0.5,0.0,0.0
2521,TJ Brown,Danny Chavez,Danny Chavez,0.3,0.0,0.3351063829787234,0.44,1.0,0.6648936170212766
2522,Ashley Yoder,Livinha Souza,Livinha Souza,0.28,0.0,0.5852417302798982,0.65,0.25,0.41475826972010177
2523,John Dodson,Merab Dvalishvili,Merab Dvalishvili,0.31,0.0,0.017543859649122806,0.37,0.1,0.9824561403508771
2524,Andrew Sanchez,Wellington Turman,Andrew Sanchez,0.5,0.0,1.0,0.41,0.0,0.0
2525,Youssef Zalal,Peter Barrett,Youssef Zalal,0.58,0.6,0.8149606299212598,0.4,0.0,0.18503937007874016
2526,Omari Akhmedov,Chris Weidman,Chris Weidman,0.36,0.5,0.15905245346869712,0.51,0.3125,0.8409475465313029
2527,Irwin Rivera,Ali AlQaisi,Irwin Rivera,0.49,0.4,0.3502824858757062,0.41,0.2222222222222222,0.6497175141242938
2528,Kevin Holland,Joaquin Buckley,Kevin Holland,0.58,0.0,0.48,0.33,0.0,0.52
2529,Maki Pitolo,Darren Stewart,Darren Stewart,0.38,1.0,0.4722222222222222,0.34,0.0,0.5277777777777778
2530,Nasrat Haqparast,Alexander Munoz,Nasrat Haqparast,0.48,0.0,0.03571428571428571,0.25,0.125,0.9642857142857143
2531,Gavin Tucker,Justin Jaynes,Gavin Tucker,0.41,0.5,0.6885245901639344,0.4,0.0,0.3114754098360656
2532,Yana Santos,Julija Stoliarenko,Yana Santos,0.75,0.5,0.9742962056303549,0.23,0.0,0.025703794369645042
2533,Derrick Lewis,Aleksei Oleinik,Derrick Lewis,0.83,1.0,0.53,0.33,1.0,0.47
2534,Tim Means,Laureano Staropoli,Tim Means,0.57,0.3333333333333333,0.9892183288409704,0.44,0.0,0.01078167115902965
2535,Beneil Dariush,Scott Holtzman,Beneil Dariush,0.56,0.0,0.8297872340425532,0.5,0.0,0.1702127659574468
2536,Lando Vannata,King Green,King Green,0.42,0.5,0.12735849056603774,0.58,1.0,0.8726415094339622
2537,Joanne Wood,Jennifer Maia,Jennifer Maia,0.53,1.0,1.0,0.54,0.0,0.0
2538,Derek Brunson,Edmen Shahbazyan,Derek Brunson,0.6,0.5,0.9841269841269841,0.48,0.0,0.015873015873015872
2539,Johnny Munoz,Nate Maness,Nate Maness,0.62,0.125,0.8673621460506706,0.42,1.0,0.13263785394932937
2541,Vicente Luque,Randy Brown,Vicente Luque,0.52,0.0,0.559322033898305,0.45,0.5,0.4406779661016949
2542,Frankie Saenz,Jonathan Martinez,Jonathan Martinez,0.54,0.25,0.6086956521739131,0.59,1.0,0.391304347826087
2543,Jamall Emmers,Vince Cachero,Jamall Emmers,0.52,0.7142857142857143,0.9253333333333333,0.5,0.0,0.07466666666666667
2544,Alex Oliveira,Peter Sobotta,Alex Oliveira,0.48,0.0,0.3561643835616438,0.43,0.0,0.6438356164383562
2545,Francisco Trinaldo,Jai Herbert,Francisco Trinaldo,0.51,0.6666666666666666,0.49748743718592964,0.3,0.0,0.5025125628140703
2546,Tom Aspinall,Jake Collier,Tom Aspinall,1.0,0.0,1.0,0.33,0.0,0.0
2547,Nathaniel Wood,John Castaneda,Nathaniel Wood,0.56,0.3333333333333333,0.8166666666666667,0.42,0.0,0.18333333333333332
2548,Tanner Boser,Raphael Pessoa,Tanner Boser,0.71,0.0,1.0,0.33,0.0,0.0
2549,Fabricio Werdum,Alexander Gustafsson,Fabricio Werdum,0.8,0.5,0.8461538461538461,0.57,0.0,0.15384615384615385
2551,Ramazan Emeev,Niklas Stolze,Ramazan Emeev,0.43,0.3333333333333333,0.951276102088167,0.41,1.0,0.048723897911832945
2552,Carla Esparza,Marina Rodriguez,Carla Esparza,0.55,0.5555555555555556,0.8929765886287625,0.52,0.0,0.10702341137123746
2553,Movsar Evloev,Mike Grundy,Movsar Evloev,0.52,0.0,0.23645320197044334,0.3,0.4,0.7635467980295566
2554,Robert Whittaker,Darren Till,Robert Whittaker,0.43,0.15384615384615385,0.8097826086956522,0.41,0.0,0.19021739130434784
2555,Bethe Correia,Pannie Kianzad,Pannie Kianzad,0.39,0.2,0.9603174603174603,0.51,0.0,0.03968253968253968
2556,Khamzat Chimaev,Rhys McKee,Khamzat Chimaev,0.64,0.5,1.0,0.0,0.0,0.0
2557,Mauricio Rua,Rogerio Nogueira,Mauricio Rua,0.52,0.5,0.686046511627907,0.46,0.0,0.313953488372093
2558,Paul Craig,Gadzhimurad Antigulov,Paul Craig,0.4,0.0,0.0,0.68,0.5,1.0
2559,Marc Diakiese,Rafael Fiziev,Rafael Fiziev,0.45,0.0,0.11518324607329843,0.62,0.5,0.8848167539267016
2560,Brett Johns,Montel Jackson,Brett Johns,0.57,0.42105263157894735,0.7642752562225475,0.59,0.6666666666666666,0.23572474377745242
2561,Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,0.87,0.0,1.0,0.64,0.0,0.0
2562,Grant Dawson,Nad Narimani,Grant Dawson,0.46,0.3333333333333333,0.982,0.4,0.0,0.018
2563,Joe Duffy,Joel Alvarez,Joel Alvarez,0.53,1.0,1.0,0.48,0.0,0.0
2564,Malcolm Gordon,Amir Albazi,Amir Albazi,0.18,0.0,0.13496932515337423,0.42,1.0,0.8650306748466258
2565,Davi Ramos,Arman Tsarukyan,Arman Tsarukyan,0.32,0.0,0.08737864077669903,0.46,0.2,0.912621359223301
2566,Jack Hermansson,Kelvin Gastelum,Jack Hermansson,0.5,0.0,0.0,0.0,1.0,1.0
2567,Alexandre Pantoja,Askar Askarov,Askar Askarov,0.51,0.5,0.30580357142857145,0.65,0.13333333333333333,0.6941964285714286
2568,Carlos Felipe,Serghei Spivac,Serghei Spivac,0.36,0.0,0.0,0.48,0.42857142857142855,1.0
2569,Ariane da Silva,Luana Carolina,Ariane da Silva,0.75,0.0,1.0,0.5,0.0,0.0
2570,Roman Dolidze,Khadis Ibragimov,Roman Dolidze,0.86,0.0,0.08108108108108109,0.28,0.0,0.918918918918919
2571,Jimmie Rivera,Cody Stamann,Jimmie Rivera,0.53,0.6666666666666666,0.3098958333333333,0.36,0.2,0.6901041666666666
2572,Jack Shore,Aaron Phillips,Jack Shore,0.64,0.375,0.9848484848484849,0.4,0.0,0.015151515151515152
2573,Diana Belbita,Liana Jojua,Liana Jojua,0.55,0.5,0.6438356164383562,0.66,0.0,0.3561643835616438
2574,Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas,0.36,0.0,0.0,0.5,0.0,1.0
2575,Molly McCann,Taila Santos,Taila Santos,0.45,0.0,0.10586011342155009,0.39,0.7142857142857143,0.8941398865784499
2576,Tim Elliott,Ryan Benoit,Tim Elliott,0.39,0.07692307692307693,0.8804347826086957,0.45,0.5,0.11956521739130435
2577,Jared Gordon,Chris Fishgold,Jared Gordon,0.63,0.5,0.9353383458646617,0.34,0.0,0.06466165413533835
2578,Calvin Kattar,Dan Ige,Calvin Kattar,0.4,1.0,0.9565217391304348,0.38,0.0,0.043478260869565216
2579,Ricardo Ramos,Lerone Murphy,Lerone Murphy,0.34,0.0,0.41007194244604317,0.55,0.5,0.5899280575539568
2580,Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,0.5,0.25,0.23759791122715404,0.55,1.0,0.762402088772846
2581,John Phillips,Khamzat Chimaev,Khamzat Chimaev,0.5,0.0,0.0,0.82,1.0,1.0
2582,Leonardo Santos,Roman Bogatov,Leonardo Santos,0.55,0.5,0.2039045553145336,0.42,0.09090909090909091,0.7960954446854663
2583,Karol Rosa,Vanessa Melo,Karol Rosa,0.52,0.5,0.9831460674157303,0.33,0.0,0.016853932584269662
2584,Alexander Volkanovski,Max Holloway,Alexander Volkanovski,0.5,0.3333333333333333,1.0,0.38,0.0,0.0
2585,Raulian Paiva,Zhalgas Zhumagulov,Raulian Paiva,0.42,0.0,0.5972222222222222,0.55,0.18181818181818182,0.4027777777777778
2586,Martin Day,Davey Grant,Davey Grant,0.38,0.0,0.4074074074074074,0.41,0.5,0.5925925925925926
2587,Jessica Andrade,Rose Namajunas,Rose Namajunas,0.34,0.3333333333333333,1.0,0.34,0.0,0.0
2588,Elizeu Zaleski dos Santos,Muslim Salikhov,Muslim Salikhov,0.33,0.0,0.9636363636363636,0.45,0.0,0.03636363636363636
2589,Marcin Tybura,Maxim Grishin,Marcin Tybura,0.46,0.42857142857142855,0.9724612736660929,0.56,0.0,0.027538726333907058
2590,Amanda Ribas,Paige VanZant,Amanda Ribas,0.85,1.0,0.68,0.6,0.0,0.32
