,Striking,Grappling,Wrestling,origin_elo
Askar Askarov,1520.4866892403174,1515.1891466222426,1517.1009154100043,2628.549620938645
Kendall Grove,1502.578449454226,1532.794002137603,1517.018754723111,2628.411183954089
Serghei Spivac,1502.3079581870613,1520.0822155109406,1528.4127960759286,2627.474989101412
Chris Cariaso,1521.0995403455033,1507.24537844191,1522.0399625476784,2627.192054278852
Amir Sadollah,1512.1798975558238,1522.8235977012755,1515.1867859458227,2627.065044606363
Ilir Latifi,1508.2730378009353,1521.332849030282,1520.4342217088704,2626.987136747973
Dustin Ortiz,1515.4414704253509,1506.917606470611,1527.5477276020888,2626.930829519188
Jacare Souza,1503.3663936075832,1512.8967170833769,1533.1432389749582,2626.6890149397123
Tyson Pedro,1508.3795734733983,1508.4556190107817,1532.4520154887257,2626.605503681976
Philipe Lins,1513.9478591633806,1514.6546083552566,1520.7090780518647,2626.5515039584798
Victor Henry,1519.0710532214785,1510.3592939275202,1518.9658399313898,2626.027281725596
Dan Hardy,1510.202908731143,1507.4927727408626,1529.706697624473,2625.4999269021337
Ikram Aliskerov,1518.8905417067374,1506.422535299158,1521.729477443503,2625.261498415692
Aleksei Oleinik,1513.6569423782848,1501.7423571746833,1531.2566317025817,2625.097011288476
Ildemar Alcantara,1510.410007306258,1513.0013682967965,1522.8236483145959,2624.7863521637423
Yves Edwards,1526.1451297138744,1476.6642575532846,1542.6517435087221,2624.77250218667
Abus Magomedov,1513.9222861912901,1508.6065636702194,1522.820669862566,2624.2784237074015
Gerald Meerschaert,1499.1646185352495,1520.641729121203,1524.3556604028013,2623.6436498150283
Lauren Murphy,1495.5158242470798,1528.43997041217,1520.086890616406,2623.6159167741816
Ben Nguyen,1510.908841554649,1511.8342919723166,1521.0962921461241,2623.3990134655714
Manny Bermudez,1519.266052534924,1509.3805740843513,1515.1424596132183,2623.367250068326
Terry Etim,1522.116862630252,1512.9807837965618,1508.2974913871542,2623.149236731643
Paige VanZant,1502.97850470634,1505.4437180170803,1534.1096007430306,2622.7461640079346
Joaquim Silva,1498.6688807923465,1516.745331014651,1526.9194453919233,2622.5956238288254
Clint Hester,1505.1629625691094,1523.6352058534198,1513.4244086652095,2622.4860772079323
Yazmin Jauregui,1515.2267288529913,1505.9820754074858,1520.855158260281,2622.3833555920232
Ibo Aslan,1520.557746163524,1510.2031048327415,1510.960252985461,2622.1766079664117
Steven Siler,1511.0940619444377,1507.3419534005234,1523.2404164066006,2622.1644484470457
Nicolas Dalby,1501.940998187174,1519.2531447266856,1520.39976147588,2622.1312542459277
Jack Jenkins,1505.5828598398691,1521.1321449166837,1513.6791198458338,2621.420841452148
Jose Quinonez,1509.0067973173566,1500.70672012183,1530.5500300897843,2621.412895515822
Alan Patrick,1497.966096910844,1511.8913010332785,1530.351049194319,2621.3912465339013
Montana De La Rosa,1503.1715187507202,1508.0279436488997,1528.9580282725246,2621.332780443621
Soa Palelei,1506.1758207406008,1513.1015645599327,1520.8513514840454,2621.265110775365
Ronaldo Rodriguez,1514.7722059837183,1511.398506839861,1513.4825473495234,2620.971137504216
Tom Lawlor,1517.4467916991305,1501.9631168237336,1520.160539239116,2620.9589914755643
Brad Blackburn,1513.8878088478273,1500.9953055344836,1524.6485877409214,2620.9533611102315
Elias Silverio,1504.0162897561916,1524.3979290160073,1509.761035198802,2620.1588557270397
Robert Peralta,1502.1186102426086,1525.6019638467208,1510.4313297871108,2620.1573375147946
Tyron Woodley,1502.9286571443795,1496.4563823114922,1538.3952189790884,2620.083224327869
Daniel Zellhuber,1514.038715364407,1507.685995280536,1516.0715975790167,2619.905223662329
Rich Attonito,1507.282752261849,1507.6721780971197,1522.7207214056784,2619.8578372256
Paul Kelly,1507.5205691381643,1512.6164030543764,1517.2569461867522,2619.6746534475924
Charles Radtke,1516.243885650111,1506.699323929811,1514.4428041129247,2619.6708534530276
Diego Lopes,1504.7562461486398,1510.425459936607,1521.9331560630533,2619.5337298595914
Kiichi Kunimoto,1509.7822772546099,1502.5854826476666,1524.3851739378756,2619.34263048904
Gavin Tucker,1501.8054741841283,1516.3107717114158,1518.5924758769215,2619.301652442399
Valter Walker,1513.5507351098415,1507.5205907691573,1515.6629514985686,2619.2915725229755
Irene Aldana,1519.502996179259,1498.6052577522194,1518.4720241304437,2619.24881636456
Paddy Holohan,1506.3625080082618,1505.0270633398873,1525.1811280604286,2619.2388093318464
Jussier Formiga,1476.3087638536538,1520.4570241290812,1539.1119504136357,2619.1874168070963
Luis Saldana,1509.8546084919406,1509.848251561681,1516.6731057921418,2619.0838076246046
Adam Wieczorek,1519.9125105608352,1505.5671581671713,1510.8400621736864,2619.065520558793
Josh Samman,1514.8343796694394,1507.7920288105845,1513.5996905471625,2618.996758913172
Mike Kyle,1509.3462916751007,1508.6890419698566,1517.4519144816315,2618.573880248039
Elijah Smith,1510.1587621541453,1513.9628581392383,1511.3247338480694,2618.5426240328816
Brian Foster,1512.7169209253464,1507.9543829745983,1514.5814719651041,2618.4338714594537
Melsik Baghdasaryan,1514.3455381585734,1504.7826883309529,1516.0729474186705,2618.4137430772935
Juan Espino,1509.620619514624,1508.2560709973466,1517.3230984043846,2618.407946733196
Mizuki,1511.3091723802831,1512.0663404851737,1511.6991756884422,2618.326646987751
Johnny Rhodes,1512.2572651272117,1516.5380114589343,1506.2318594516194,2618.30937640244
Joanne Wood,1504.2914133980596,1520.6384126816458,1510.0480377252509,2618.2969493134215
Aisling Daly,1511.849343381634,1509.0822022293717,1514.07150122099,2618.2876161679624
Din Thomas,1513.2334938405481,1507.2535702800778,1514.3867786617168,2618.2162338867897
Josefine Knutsson,1510.3928047842326,1510.9353778375412,1513.5278854205274,2618.201443871458
Tim Credeur,1501.4283346231066,1510.8890077824226,1522.3946063982805,2618.159272358625
Ariane Carnelossi,1509.8218523641647,1510.4186613941654,1514.5098674331794,2618.141840526706
Jake O'Brien,1488.7970918401013,1523.9055912256997,1521.7585133000437,2618.1203189390767
Eduarda Moura,1507.0180871481682,1515.6880936603313,1511.958725221967,2618.097228719791
Michael Trizano,1517.0478240902555,1502.2305372422231,1515.3220779039216,2618.0778612148065
Zachary Reese,1500.6778165710014,1512.8931070180488,1520.9367212169461,2618.038955469759
Billy Quarantillo,1514.545805055814,1521.4390587613548,1498.3892081480244,2617.9755583716333
Danny Barlow,1506.5238832492532,1503.4590697644676,1524.2690688857513,2617.899841403273
Melissa Gatto,1514.8651708441591,1510.9594769223127,1508.3422294680493,2617.8065833698824
Tom Duquesnoy,1521.4697561031885,1499.6357840922306,1512.9430394462702,2617.7804232355957
David Martinez,1511.6494812340454,1505.9446949473927,1516.5069298299159,2617.775171128627
Royston Wee,1504.6994640125229,1514.330666931604,1514.9688468537645,2617.7181767231004
Kevin Vallejos,1510.9677064492978,1506.4385426412491,1516.5549950659856,2617.6935545910133
Yadier del Valle,1509.3864882371056,1512.1588294657695,1512.4189464062079,2617.6865675348704
Abdul-Kerim Edilov,1508.7603506695264,1512.569661672006,1512.6234738966348,2617.681140044777
Michal Oleksiejczuk,1497.5546147354364,1489.2030162801195,1546.5506385578387,2617.6734566092973
Ronnie Lawrence,1505.6389188523742,1510.7311568311375,1517.4959222003836,2617.642270456008
Ron Waterman,1511.314903694315,1516.5686133045847,1505.98021623148,2617.638154648148
Jesus Aguilar,1507.961314190274,1505.5868881515232,1520.1469580317982,2617.5534334338954
Punahele Soriano,1504.8838212746164,1515.1296425880291,1513.6797774356633,2617.5407576579773
Brad Riddell,1503.7565473750494,1526.4414667011283,1503.32730028829,2617.4988589930845
Ronny Markes,1512.1972055366311,1507.3605593970608,1513.9799613494788,2617.4437086261064
Augusto Sakai,1497.2503197352812,1512.1017828196366,1523.9540294727174,2617.37391396412
Javid Basharat,1509.783988492324,1510.903535056444,1512.689934848972,2617.347516694571
Aspen Ladd,1511.3192547841245,1516.235815570559,1505.7521605457644,2617.3166616380977
Dione Barbosa,1508.3915911812967,1508.8926430278898,1515.9078435879208,2617.246413844427
JooSang Yoo,1517.3601842379378,1507.8396483585802,1507.970029732472,2617.238228446938
Steve Jennum,1509.5961306726883,1520.7061361667475,1502.8262052224761,2617.234080746416
Brian Stann,1501.2229531626847,1493.8441400487009,1537.7037106540615,2617.2071701757973
Ebenezer Fontes Braga,1510.6486664899357,1516.4897033419138,1505.9781369203865,2617.206633567947
Mario Pinto,1514.4644650304174,1508.131277726057,1510.5259813483735,2617.20295487835
Evan Elder,1506.4658046910392,1510.7836699730535,1515.8239773451503,2617.1795598420717
Genki Sudo,1510.4190804267055,1516.2038062564072,1506.4098637906043,2617.1569418644153
Cody Haddon,1511.9007184392306,1511.8579347393277,1509.2865134446165,2617.1557036059457
Clayton Carpenter,1509.485719008246,1507.5655729641526,1515.9664774515907,2617.1464333188464
Austin Vanderford,1510.8911726705562,1508.3358856753034,1513.790928970118,2617.142001554735
Rodolfo Bellato,1512.4875066245631,1508.5007118013639,1512.0312904629336,2617.1418529647212
Ateba Gautier,1515.4123146732525,1508.8267482234803,1508.7489772234446,2617.1274550336248
Torrez Finney,1509.2632692643524,1508.8635813357214,1514.8543322992086,2617.12219262255
Tyrone Roberts,1506.3524383911356,1513.3174636427073,1513.2943757311282,2617.1143043498087
Kaue Fernandes,1509.0923942060838,1501.9997600303136,1521.619336457943,2616.999911819731
Elves Brener,1510.3126235550428,1504.7279155704239,1517.6514967929352,2616.967020519071
Piera Rodriguez,1512.0891525158659,1506.1422619644463,1514.4222639803165,2616.9357867687154
Uros Medic,1502.6539975731046,1509.846768441143,1520.0319000718698,2616.888090429297
Remco Pardoel,1510.4906943999708,1521.8083388234534,1500.2060671556292,2616.8876555771485
Kajan Johnson,1513.0956677053123,1505.1508362671298,1514.2766378452966,2616.8628690606392
Wang Guan,1511.5666233374463,1507.8781085472206,1512.977460653984,2616.7978224292933
Caio Magalhaes,1514.517815923714,1503.7153316721492,1514.1378924000633,2616.7800004314317
Tainara Lisboa,1511.1638435774316,1511.1158669051,1510.0727231665026,2616.7550429108883
Paul Sass,1519.4993743938226,1504.5711819029264,1508.0279959153356,2616.6316566648065
Mikey Burnett,1512.5552358367872,1510.004060022111,1509.5755494993718,2616.63026474641
Jack Nilson,1517.1727157713249,1507.4136421143376,1507.4136421143376,2616.563552896386
Yoshiki Takahashi,1509.559970945595,1516.4049757449293,1506.0350533094756,2616.5620455364938
Sione Latu,1509.6271449571766,1516.3558676075015,1506.0169874353219,2616.561942791154
Rafael Carino,1509.6271449571766,1516.3558676075015,1506.0169874353219,2616.561942791154
Kazushi Sakuraba,1509.830268342992,1516.207372513781,1505.962359143227,2616.5616489633967
DongHun Choi,1510.7370789426782,1505.7184802116342,1515.5444408456879,2616.560646253275
Frank Hamaker,1510.9521568118842,1515.3872063243311,1505.6606368637847,2616.5604825165046
Tulio Palhares,1511.242096717166,1515.1752432692876,1505.5826600135463,2616.5603067461884
Scott Adams,1505.345047764735,1514.5293462111251,1512.1256060241399,2616.560089460661
Carlston Harris,1504.1652268395706,1505.499941313091,1522.2807070580752,2616.559124882962
Isaac Dulgarian,1507.3414018108192,1514.3108582048574,1510.3505955641979,2616.557738405798
Jon Hess,1515.2553608764172,1508.3723195617913,1508.3723195617913,2616.5574554183136
Logan Clark,1514.9333312520357,1507.268832675926,1509.7978360720383,2616.5572491161834
Geza Kalman,1515.095787015738,1508.452106492131,1508.452106492131,2616.557042946691
Jonathan Wiezorek,1514.380533780349,1506.7928831683992,1510.8265830512519,2616.5569280858604
Mark Hughes,1508.5804989803446,1508.8418140778795,1514.577686941776,2616.555810907826
Aleksandre Topuria,1508.8340050468598,1508.746105227983,1514.4198897251572,2616.5554584647184
Marcelo Mello,1512.5046379349096,1512.1350700325743,1507.3602920325163,2616.554566561413
Ben Earwood,1507.7357761136084,1512.1321119431957,1512.1321119431957,2616.5538822108147
Aliaskhab Khizriev,1509.1618290846457,1509.5995143355658,1513.2386565797885,2616.553334410689
Tom Murphy,1509.1560760523491,1510.6074922288396,1512.2364317188112,2616.552327564131
Bob Cook,1512.0041806733216,1509.2558425444372,1510.7399767822415,2616.552143198398
Scott Bessac,1512.1328784990076,1509.933560750496,1509.933560750496,2616.5520361726117
Shi Ming,1509.2329819410688,1511.620631162708,1511.1463868962232,2616.55203062446
Enson Inoue,1510.6666666666667,1510.6666666666667,1510.6666666666667,2616.551419967384
Tallison Teixeira,1512.9519555085958,1505.3288944988221,1513.6964902909394,2616.5465340806454
Bolaji Oki,1513.3792984568963,1514.6076179220504,1503.8956715827096,2616.4967663405596
Sergey Morozov,1503.6765607349835,1506.6462735311807,1521.1733355890262,2616.2940411498525
Hermes Franca,1511.8595537315555,1514.1361326590588,1505.521184910566,2616.280102865063
Ian Freeman,1513.4118875796812,1507.6503148120555,1510.4196595354656,2616.2554464600003
Ramiz Brahimaj,1497.3419068999638,1513.3033337532793,1520.5078414580548,2616.116179003341
Leslie Smith,1509.0150531578888,1500.6984578042598,1521.4088816446401,2616.086251838877
Javier Vazquez,1508.412968832119,1510.6292530546407,1512.053090892755,2616.0303848395347
Jonathan Micallef,1509.4300752430047,1505.8568160776451,1515.7523161057518,2616.006304723969
Lee Murray,1510.3456073412958,1510.4853455464297,1510.2191104104031,2616.002980536233
Ikuhisa Minowa,1507.5002629891537,1509.5235239419997,1514.0102896829296,2615.997987291357
Dmitry Sosnovskiy,1510.9576356107182,1510.664438212938,1509.3888592181606,2615.9806478304545
Jamey-Lyn Horth,1516.499842168408,1510.574444180866,1503.8788479299963,2615.9622535427366
Shauna Bannon,1513.527844564274,1507.6283183603753,1509.8051661079967,2615.955145295864
Talita Alencar,1505.480920859659,1508.2943751441405,1517.1546553550131,2615.9478155019237
Jonny Parsons,1509.6236979129458,1506.0278429295483,1515.1876480732321,2615.889367280864
Mark Schultz,1508.0639173116876,1516.383997751935,1506.3207072533776,2615.8515402132302
Steve Bosse,1510.1327533112194,1504.822805888246,1515.352093623061,2615.584939816043
Timothy Johnson,1509.8328538423893,1504.4724923268639,1515.7767958941922,2615.4563696764894
Che Mills,1505.8842114929278,1507.5680004515882,1516.6197207577122,2615.450995870593
Sanae Kikuta,1506.942859346555,1511.6963012846466,1511.357503254546,2615.3974824674483
Magomed Mustafaev,1511.716207241976,1499.2573845383986,1518.9408342909398,2615.3852210348364
Alexia Thainara,1507.762659104851,1511.0674132247573,1511.1448792264596,2615.383683040223
Serhiy Sidey,1511.709922517228,1509.7712853337898,1508.4655842632417,2615.3670187494013
Ken Shamrock,1523.7803510276183,1519.9672788046703,1485.865670574542,2615.3401074825165
Oumar Sy,1506.228457619735,1510.65687036036,1512.996832873142,2615.3332030153715
Jean Matsumoto,1515.356745612887,1508.836995949871,1505.675089758862,2615.330308535017
Kenichi Yamamoto,1509.183620926966,1505.1319510930512,1515.3090814872924,2615.1900512798807
Ed Herman,1503.4679892913825,1491.3199446908186,1534.5239376834577,2615.189264198682
Al Iaquinta,1500.935727812359,1504.1766439141163,1524.323418814616,2615.1323714617256
Brendan Schaub,1501.6477738346346,1503.7197816537646,1523.7919136757557,2614.968645047772
Daria Zhelezniakova,1518.0154616179855,1501.4249545937732,1509.6183906807469,2614.879638046407
Khalid Murtazaliev,1507.8562368001046,1511.644177611843,1509.5961285932092,2614.876483130391
Andreas Gustafsson,1510.1611648558633,1508.8336647028386,1510.008838983463,2614.8216890234794
Maiquel Falcao,1507.5791791012575,1511.6944760766396,1509.663230840072,2614.784549596913
Jalin Turner,1483.4601007684676,1514.3085545591405,1530.7629500587204,2614.7694885506567
Seokhyeon Ko,1508.2541411027098,1509.5146547773656,1511.1204817720982,2614.756232915841
Sergey Khandozhko,1504.0517174612266,1514.389907830619,1510.1141712560702,2614.573229413493
Timur Valiev,1510.540621303868,1504.3030305326026,1513.7108015336294,2614.570895378098
Andre Fili,1493.3656758181005,1524.9585662075247,1509.9335215095755,2614.4863567706125
Saidyokub Kakhramonov,1512.5485488973984,1510.234101833483,1504.9752226378387,2614.1079885624895
Viviane Araujo,1501.2889345677788,1538.120853471648,1487.8763140618798,2614.0887802227326
Wilson Reis,1495.0494528189552,1513.2281632638608,1519.2713533539243,2614.0424223013365
Davi Ramos,1496.4258160487027,1511.6962469090906,1518.8698303006165,2613.7102607698275
Kyle Noke,1502.9052732885746,1507.6422072112343,1515.7413789665954,2613.2702143779397
Drew Fickett,1502.3165404196202,1517.6528365965773,1506.2863821675985,2613.2592265505477
Scott Holtzman,1490.2124953320144,1508.1210948903786,1527.3810427324593,2613.054796171622
Jared Cannonier,1505.2618460607073,1516.3531090296276,1504.2387735250104,2613.0201423345234
Lucas Martins,1503.4951163796231,1500.679463947852,1521.5533762485288,2612.9793522462983
Adriano Martins,1497.307397740812,1512.3844032894706,1515.9469553358672,2612.916224840493
Marina Rodriguez,1511.5457617869067,1499.5963239642788,1514.2238243749212,2612.744441220333
Felipe Lima,1507.3540321747403,1510.6072052839393,1507.1911846533585,2612.599390275133
Maurice Smith,1521.1881370204753,1498.406423259413,1505.4223242773435,2612.5718233016087
Jeff Monson,1507.889815737909,1505.1986964774444,1511.6872438940713,2612.384568863389
Curtis Millender,1507.5712864746379,1512.639292578033,1504.4078717749976,2612.2962806527794
Charles Johnson,1498.7763807427928,1505.329832266643,1520.400966444605,2612.272505338996
Molly McCann,1476.5426244219161,1524.6232436641815,1522.3446029993445,2611.931707977274
Esteban Ribovics,1502.2086161473783,1511.9306037566892,1509.728170060916,2611.8660043116624
Nina Nunes,1503.7377024481202,1510.3910071585562,1509.7411828813938,2611.8626517406115
Carlos Felipe,1513.0631899384355,1506.2756559766208,1504.276587168115,2611.7187098224463
Rodrigo Nascimento,1505.11297420889,1502.6175820333501,1515.805214903115,2611.6833867249607
Todd Duffee,1512.3831409077118,1501.3742715893752,1509.6125972852817,2611.581448504874
Jacob Malkoun,1504.173159823125,1502.6993276695516,1516.4588380531031,2611.5684122037037
Kevin Randleman,1501.7835843978405,1508.827482134251,1511.957927314159,2611.116826030298
Thiago Moises,1486.698717707918,1507.3674588038089,1528.1581773725566,2611.0720304437473
Cynthia Calvillo,1497.3634031813908,1511.3114285646016,1513.7507440975098,2611.0535633250993
Chan Sung Jung,1499.7299696008345,1507.1565212846806,1515.3868724201204,2610.9592364633145
Warlley Alves,1484.9644460788095,1500.5993382098725,1535.694899318998,2610.6084738521095
Nate Landwehr,1492.6644798835696,1508.6468559996833,1520.05762827479,2610.48611926978
Douglas Silva de Andrade,1509.5070437426036,1487.0939829998822,1524.4188818155699,2610.347286592116
Chris Curtis,1503.4662471353365,1494.7256275060977,1521.998806680031,2609.8076222844757
Sara McMann,1495.9390360911061,1514.1129118169065,1509.9177128059018,2609.6403983838204
David Terrell,1511.4058613234492,1493.091922536136,1514.7028754395603,2609.2136684546176
Taila Santos,1502.6533059194117,1496.6670397542857,1519.6960097013987,2609.1100297955522
Joe Solecki,1497.1830111679776,1494.4893387672187,1526.3292763465536,2608.5889696254344
John Howard,1498.349917342119,1518.057428661625,1501.3462436395514,2608.3694858674585
Ali Bagautinov,1509.9081937845863,1512.7989799082607,1495.054756567579,2608.365816446123
Paul Daley,1504.702954196619,1501.697457390104,1511.321908067578,2608.317492887889
Jorge Masvidal,1485.4127697741906,1517.5595329152106,1513.6673545175859,2607.8011604956255
Jonathan Pearce,1485.1083684583016,1513.9030559177509,1517.3464518596118,2607.640616295301
Jordan Mein,1496.330936580205,1511.9919473034631,1507.993669834229,2607.5219709021853
Michael Page,1504.3943744614735,1504.147093163277,1507.1510124530962,2607.137335492946
Tim Kennedy,1500.9722410887039,1502.8642274362,1511.6940557679316,2607.055326008704
Livinha Souza,1503.2985578134746,1500.988270198151,1510.9317521509436,2606.8730503909146
James Te Huna,1491.9933066517954,1499.042595720506,1523.203763063804,2606.4002828978446
Phil Rowe,1516.4603543867493,1503.7839009964355,1493.833688282308,2606.253463416397
Viktoriia Dudakova,1504.9339555362806,1505.5651639550028,1503.643250685667,2606.241680806577
Felice Herrig,1474.059714942549,1520.940881550368,1518.494458934199,2606.1348066056726
Daron Cruickshank,1495.8457007360084,1501.3818332428116,1516.5770231145557,2606.090488958692
Yana Santos,1504.3799257873827,1512.3215771575133,1496.9323423284518,2605.970443300765
Makwan Amirkhani,1495.2491575658046,1507.1979611320364,1511.0733482272562,2605.90836388476
Maryna Moroz,1495.279956479279,1498.7561414510094,1518.9921802484587,2605.6610223591556
Maurice Greene,1503.7863456892505,1500.6550011586958,1508.5171699302778,2605.5638272662773
Jorge Rivera,1493.8723959793317,1493.204937846298,1525.294362849043,2605.3480794735783
Marco Polo Reyes,1500.029543849851,1498.5055499397758,1513.6016511287405,2605.1098775142577
Josiane Nunes,1501.1496550733839,1499.0478559090975,1511.8718521766732,2605.0626208666704
Marcus Brimage,1495.6179951959919,1497.5536999789394,1518.7128895026835,2605.0007893696074
Johnny Walker,1504.9076084046703,1503.209272541814,1503.755376035559,2604.930950686755
Sumudaerji,1493.288122748042,1509.3303924425034,1509.1763703740028,2604.91861062611
Cody Durden,1503.4674997033408,1481.5802749783043,1526.4093177217128,2604.8838820754886
Ricardo Almeida,1490.8353046706682,1513.53690010749,1507.0293285251719,2604.7113564989318
Parker Porter,1495.625752077808,1493.8815674698897,1521.6591281847843,2604.6161003673233
Thomas Almeida,1521.8307565231294,1501.5398700514809,1487.7421261239422,2604.6050500407478
Phil Hawes,1494.1227226117605,1495.4180445047893,1521.1433891293614,2604.333897246524
Shayilan Nuerdanbieke,1503.4181998317827,1503.7605108217615,1503.4607506489292,2604.21892056605
Marco Beltran,1504.2290287185108,1505.6924511674472,1500.713199559688,2604.2186612638243
Nick Hein,1506.1065751439373,1507.9213182826516,1496.5127944539202,2604.176311578648
Shawn Jordan,1496.157335484416,1510.0990583151734,1503.816124066843,2603.9103044174976
Cyrille Diabate,1498.585950875368,1512.5848455041928,1498.6202964207043,2603.75412814921
Andrew Sanchez,1501.0842751576363,1493.0896510234556,1515.4164251172294,2603.6623530392635
Francimar Barroso,1494.2807937231405,1500.5088064763406,1514.4936099363306,2603.477033380723
Joe Proctor,1496.411119837411,1499.044599632026,1513.8054274576907,2603.456898713585
Jason Lambert,1507.995364721289,1497.9465168757945,1503.1866311440585,2603.356263651105
Rafa Garcia,1496.1230417630177,1508.776666615839,1504.2030913318717,2603.3474846418385
Julia Avila,1507.0168585895885,1487.8039359806498,1514.149127094008,2603.3263228170786
Devonte Smith,1487.3944932119011,1500.1733015723783,1521.1955923742062,2603.2476531145417
Vanessa Demopoulos,1500.626722756265,1499.0401744737994,1509.1663293079841,2603.187472168223
Rob Emerson,1505.5071717408496,1496.0224164664426,1507.2701096450044,2603.1707777559445
Yves Jabouin,1499.866420850744,1503.7776131468984,1504.6451684116512,2602.864474578331
Roland Delorme,1507.567680838573,1495.8843541135718,1504.7948715160314,2602.851881788843
Danilo Marques,1506.1383171772072,1499.171900068696,1502.6591673809169,2602.681999349687
Aleksandra Albu,1504.8197738793929,1504.0338520104037,1498.4900605546422,2602.3206646054855
Luke Barnatt,1498.2760699187354,1504.3987588252564,1504.2336057781135,2602.0694740914064
Mana Martinez,1495.9887520812863,1505.1381610956066,1505.722636107485,2602.0422531593263
Desmond Green,1495.8989677711168,1498.1959948980598,1512.7152892181587,2602.040066398221
Hugo Viana,1499.31660800684,1494.7671620368337,1512.6108022913347,2601.974365545753
Trevor Prangley,1501.0114904186148,1501.2494918180782,1504.3616513376753,2601.901133607533
Da Woon Jung,1499.8900570629642,1497.1787957244617,1509.475831409828,2601.870829855641
Luke Jumeau,1500.817736227072,1506.7949118816798,1498.939852017555,2601.865765909664
Shane Nelson,1497.9108880040415,1497.5872538988372,1511.020935985726,2601.862579082242
Sedriques Dumas,1498.6998108436599,1495.5896058155317,1512.2152110116647,2601.8616866507978
Marc Diakiese,1481.7669460551429,1516.5909763609436,1507.9327615270563,2601.834484606513
Fredy Serrano,1498.9000713918365,1500.1630165624572,1507.380157903199,2601.804266412156
Cody Stamann,1515.3671443133885,1497.2675389689723,1493.6502933201573,2601.756880273426
Tony DeSouza,1492.2163406555192,1504.0707096808785,1510.0176426023936,2601.7477948505657
Stephan Bonnar,1480.1138445046997,1503.3851841504725,1522.2978334661539,2601.59464528842
Cory McKenna,1504.6114507297352,1500.3612289870282,1500.8619294678685,2601.446898639393
David Dvorak,1503.1393494989795,1492.1784482779835,1510.3964948721064,2601.4076953141066
Cameron Saaiman,1489.1513052267242,1509.379049262083,1507.071073945435,2601.35732765278
Eddie Sanchez,1503.3884766557546,1501.4060973204787,1500.573302625516,2601.1761603868486
Trevin Giles,1505.9417897368241,1504.2720767794378,1495.0560646923825,2601.132021183766
Gaston Bolanos,1500.7844071650165,1504.5288270592573,1499.9588546288542,2601.1223334978804
Holly Holm,1485.2614589160412,1520.5604282919792,1499.1494183436832,2601.067972189327
Brian Bowles,1493.3715817367208,1513.7031223482952,1497.904419989785,2600.994708793301
Sijara Eubanks,1486.614207156827,1507.4522064039877,1510.7049926533698,2600.896678136329
Brock Lesnar,1503.694892686403,1500.9894366186259,1500.020411005291,2600.793888904762
Francisco Figueiredo,1503.7955559194795,1496.1675508730268,1504.6733548672873,2600.761488321477
Justin Gaethje,1493.848753860898,1499.1247765560474,1511.4797536016035,2600.6788038209447
Ramsey Nijem,1503.0441939256602,1489.6199299628636,1511.756405362048,2600.6762224062777
Tiago dos Santos e Silva,1498.9922768046852,1501.02602188864,1504.445841382845,2600.6565044159647
Darren Till,1498.4196067180746,1493.7331622856354,1512.066804595091,2600.5472692238077
Juliana Miller,1495.660116331598,1506.2830602328565,1502.2876492917458,2600.5299502878306
Valerie Letourneau,1495.6827947136567,1506.7709149645486,1501.7459972235342,2600.5127672754206
Paul Varelans,1489.6022797087976,1517.2099405083054,1497.2044369513942,2600.473434072689
Danny Roberts,1504.2257879889876,1496.5657537886866,1503.3443147496848,2600.470804557204
Eliot Marshall,1497.9896473286403,1503.203717270007,1502.9219269930402,2600.4554827480943
Brock Larson,1486.9877420900937,1500.6661811109188,1516.3205103642874,2600.453695493853
Zhang Lipeng,1497.2423265286752,1502.784722526699,1504.0343456109456,2600.426084199663
Ivan Jorge,1503.2498403306759,1503.583121297105,1497.2261204357508,2600.424646248923
Nicholas Musoke,1501.8025093879119,1506.8285592348493,1495.1962599275182,2600.299009696931
Marcelo Guimaraes,1501.922154325229,1500.058386343228,1501.6579970494297,2600.177313221945
Diego Rivas,1499.4233645483966,1501.7283314616895,1502.1714350861753,2599.9956592381463
Ramon Taveras,1500.5331607539376,1500.2893768756724,1502.2756067660782,2599.8653772017856
Bea Malecki,1497.309699479547,1497.8020192975466,1507.8481297583985,2599.7986859722887
Johnny Bedford,1488.6220502038984,1505.182000445457,1508.9854481024613,2599.7318218237883
Pablo Garza,1493.9334996225784,1491.2755770568774,1517.4369238222325,2599.6836280209113
Jake Shields,1503.610628355752,1496.4349760184941,1502.5610277521175,2599.5869289707066
Rory Singer,1502.5679721553383,1496.9822190085852,1502.9765754506911,2599.5393556029035
Jimy Hettes,1495.336998737857,1504.6490607266612,1502.4535720894019,2599.4938491991416
Ketlen Souza,1500.055617642153,1496.567555237951,1505.7607989997641,2599.4608839555726
Tsuyoshi Kohsaka,1507.166132035571,1493.9984524446481,1501.1678175793345,2599.4395438243932
Mason Jones,1494.5815577560916,1502.528428075733,1505.1488122574167,2599.39197832883
Natan Levy,1496.5795833361406,1493.6809907453967,1511.9307387454378,2599.3783699446394
Impa Kasanganay,1496.51028698916,1497.7909866100658,1507.9278423096869,2599.378244166762
Leah Letson,1500.5437316504895,1490.7938550170811,1510.782876652571,2599.3388984776275
Ricardo Abreu,1500.993148150285,1497.6581777900392,1503.4575673304935,2599.2970405590063
Tedd Williams,1497.372013777922,1500.3933929614043,1504.3400113942607,2599.296472349637
Jesse Taylor,1502.4596147589868,1499.7608384209404,1499.8803419140093,2599.2900004622206
