,Striking,Grappling,Wrestling,origin_elo
Ketlen Vieira,1548.4594758596547,1563.8326906159857,1569.792126150458,2703.2474455629776
Sean Woodson,1566.9467501712102,1551.0395856540902,1562.9744526433246,2702.579333480116
Brandon Moreno,1559.1562321682238,1546.9826786271285,1574.5122720913344,2702.445644087517
Cory Sandhagen,1543.495558035489,1563.529339005301,1572.454608864826,2701.780159181326
Pat Sabatini,1549.456229684518,1550.891744032405,1577.0537228494081,2700.5885014509736
Bryce Mitchell,1555.5864370273594,1560.887528891652,1560.2672360406607,2700.1209026217557
Kevin Holland,1577.7777837717333,1523.839953061952,1574.4635295951587,2700.0752477545398
Michael Morales,1571.9864930089573,1550.9253969454196,1553.4268218784084,2699.9344458753367
Marcin Tybura,1531.0512919207306,1543.293509810398,1600.9739856228114,2699.8130710395535
Erik Perez,1557.849147728108,1539.5221784907396,1578.0058302673024,2699.467522586568
Giga Chikadze,1560.8902670813893,1549.968804945256,1564.4495083044706,2699.311761580521
Tatsuro Taira,1560.860426832237,1550.7902961425814,1563.6360887128549,2699.295025110472
Nassourdine Imavov,1554.3524384622424,1549.4512861500004,1569.8732524377415,2698.390783379024
Tagir Ulanbekov,1549.4559057974893,1555.1631134413403,1568.9883303632105,2698.345844074702
Joaquin Buckley,1535.8719464239218,1555.5998075787859,1581.135709942055,2697.9220764145743
Tim Sylvia,1551.4033537888852,1518.5358689459267,1601.0866235862827,2697.458420003853
Elias Theodorou,1556.875408158176,1550.1438794036274,1565.0762782670324,2697.456364832321
John Hathaway,1549.506622834975,1554.3365101868533,1568.0213762503015,2697.336426456141
Matt Brown,1567.3308003781997,1541.5501098898733,1562.5079079660936,2697.097243625492
Tracy Cortez,1554.8969222271967,1544.9504029918314,1571.1227336474626,2696.850539173446
Chas Skelly,1544.2440564270878,1555.6215262683186,1571.0317001906676,2696.8108279602666
Dan Severn,1538.1923685250988,1595.898554038359,1535.6632181540904,2696.5143198139995
Martin Buday,1558.3690874602935,1539.6789226603091,1572.1909386313746,2696.4624501651865
Jonathan Martinez,1567.89340572016,1557.7333282772538,1544.4570613373057,2696.3253639056916
Alonzo Menifield,1567.5810820633135,1554.765062469096,1547.716578057582,2696.299585415462
Dan Hooker,1555.9467234080862,1518.3812960874866,1594.6345936052687,2696.166065641231
Chris Leben,1558.899319432295,1519.4499463433608,1590.4848396141917,2696.0224874084224
Cub Swanson,1539.8007721913623,1568.2937591780617,1561.1265821706006,2695.8575516294686
Cristiane Justino,1562.7433117445153,1548.3976208992196,1558.0502827070034,2695.7786508265012
Gegard Mousasi,1552.0393239395362,1540.9033393339569,1575.9347945327052,2695.6965038453554
Gray Maynard,1524.5644466425554,1566.0861865287202,1577.7989196514823,2695.620916682458
Frank Shamrock,1579.191482843307,1549.1269657593616,1538.6556967051692,2694.643102255087
Renato Moicano,1534.5467499189285,1534.2231487199242,1597.1424993525336,2694.353087661839
JJ Aldrich,1549.522322047233,1540.662183376958,1575.8719448092065,2694.073454129871
Shane Burgos,1566.9453744810194,1557.9337925666198,1540.692657691982,2693.735208608013
Gregory Rodrigues,1554.2921888729604,1541.6660321831423,1569.4382182202226,2693.639672262992
Ricardo Lamas,1536.2887248074164,1553.319501624822,1575.6339628835603,2693.623378479355
Amanda Lemos,1548.7128623043402,1546.6791936959862,1569.6237310243482,2693.4080112515007
Chase Hooper,1552.9045955202614,1544.7088348220386,1566.8358362044871,2693.0675083962938
Josh Emmett,1543.3655096753537,1540.562837375229,1579.7286404515721,2692.740895411226
Fares Ziam,1553.2729321642541,1555.244767057935,1555.3635041135985,2692.693580261921
Joel Alvarez,1572.4668143268864,1535.527611291936,1555.2039299636217,2692.4257076052363
Tito Ortiz,1550.1448649252704,1539.369581670705,1573.6925769226934,2692.418269490982
James Krause,1557.6351026480527,1543.312354673153,1561.7993992226654,2692.0730860250583
Vitor Belfort,1548.6259930042525,1525.8068298665269,1587.6935863441972,2692.043809523583
Alejandro Perez,1560.866503455412,1544.2266374203195,1557.4150121579908,2691.928986697581
Rose Namajunas,1526.3944769640448,1555.4732687247902,1580.1761620178602,2691.90153832439
Rick Story,1522.0241431206005,1558.3267672317058,1580.7959058111473,2691.441156990452
Matt Mitrione,1563.5342994631937,1524.0831420839465,1573.1905583892067,2691.170277516322
James Vick,1554.415499152354,1547.3444433277639,1559.2491291125705,2691.0481632517613
